순번,대학(원),학과(부),학년,이수구분,학수번호,교과목명,교과목명(영문),담당교수,Teaching method,수업방법,시간표,학점,강의실
1354,도시과학대학,도시건축학부,1,기초과학,XAA2047002,비즈니스소프트웨어,BUSINESS SOFTWARE,,online class,온라인(동영상+화상), [SC105:목(7-8A)(8B-9)],3,제4호관 BM컨텐츠관-105 전산실습실-2[SC105]
1355,도시과학대학,도시건축학부,1,전공필수,0002338001,건축일반구조,Building Systems & Science,김태완,online class,온라인(화상)," [SY2404A:월(7-8A),수(5B-6)]",3,제28호관 도시과학대학-404A 강의실[SY2404A]
1356,도시과학대학,도시건축학부,1,전공필수,0002338002,건축일반구조,Building Systems & Science,장정국,online class,온라인(동영상+화상)," [SY1312:월(7-8A),수(5B-6)]",3,제27호관 제2공동실험실습관-312 강의실[SY1312]
1357,도시과학대학,도시건축학부,1,전공필수,0009518001,건축기초설계2,Architectural Design Basics 2,김진호,on and offline class,온라인(화상)+오프라인, [SY2507:금(1-2A)(2B-3)(4-5A)(5B-6)],3,제28호관 도시과학대학-507 설계실[SY2507]
1358,도시과학대학,도시건축학부,1,전공필수,0009518002,건축기초설계2,Architectural Design Basics 2,이옥화,on and offline class,온라인(화상)+오프라인, [SY1313:금(1-2A)(2B-3)(4-5A)(5B-6)],3,제27호관 제2공동실험실습관-313 건축공학종합설계실(구조)[SY1313]
1359,도시과학대학,도시건축학부,1,전공필수,0009518003,건축기초설계2,Architectural Design Basics 2,서상하,on and offline class,온라인(화상)+오프라인, [SY1314:금(1-2A)(2B-3)(4-5A)(5B-6)],3,제27호관 제2공동실험실습관-314 건축학연구실3[SY1314]
1360,도시과학대학,도시건축학부,1,전공필수,0009518004,건축기초설계2,Architectural Design Basics 2,석정호,on and offline class,온라인(화상)+오프라인, [SY2507:화(1-2A)(2B-3)(4-5A)(5B-6)],3,제28호관 도시과학대학-507 설계실[SY2507]
1361,도시과학대학,도시건축학부,1,전공필수,0009518005,건축기초설계2,Architectural Design Basics 2,조준호,on and offline class,온라인(화상)+오프라인, [SY1313:화(1-2A)(2B-3)(4-5A)(5B-6)],3,제27호관 제2공동실험실습관-313 건축공학종합설계실(구조)[SY1313]
1362,도시과학대학,도시건축학부,1,전공필수,0009518006,건축기초설계2,Architectural Design Basics 2,강난형,on and offline class,온라인(화상)+오프라인, [SY1314:화(1-2A)(2B-3)(4-5A)(5B-6)],3,제27호관 제2공동실험실습관-314 건축학연구실3[SY1314]
1363,도시과학대학,건축공학전공,2,기초과학,XAA1493001,대학화학,COLLEGE CHEMISTRY,오세영,on and offline class,온라인(동영상)+오프라인, [SY2603:금(4-5A)(5B-6)],3,제28호관 도시과학대학-603 강의실[SY2603]
1364,도시과학대학,건축공학전공,2,전공기초,EE06028001,건축시공(1),EXECUTION OF BUILDING WORKS(1),이찬식,on and offline class,온라인(동영상)+오프라인, [SY2102:금(1-2A)] [SY2603:화(2B-3)],3,"제28호관 도시과학대학-102 강의실[SY2102], 제28호관 도시과학대학-603 강의실[SY2603]"
1365,도시과학대학,건축공학전공,2,전공기초,XAA1114001,선형대수학,LINEAR ALGEBRA,황인호,on and offline class,온라인(동영상)+오프라인," [SF309:월(2B-3),목(2B-3)]",3,제5호관 자연과학대학·생명과학기술대학-309 강의실(중)-1[SF309]
1366,도시과학대학,건축공학전공,2,전공필수,EPE6008001,건축구조역학(2),STRUCTURAL MECHANICS (2),장정국,online class,온라인(동영상+화상)," [SY2603:화(7-8A),수(2B-3)]",3,제28호관 도시과학대학-603 강의실[SY2603]
1367,도시과학대학,건축공학전공,2,전공선택,EPE6123001,건축환경(2),ENVIRONMENTAL PLANNING IN ARCHITECTURE(2),윤성민,online class,온라인(화상)," [SY2603:화(5B-6),목(5B-6)]",3,제28호관 도시과학대학-603 강의실[SY2603]
1368,도시과학대학,건축공학전공,3,전공필수,0005957001,건설관리,Construction Management,김태완,online class,온라인(화상)," [SY2603:월(2B-3),목(7-8A)]",3,제28호관 도시과학대학-603 강의실[SY2603]
1369,도시과학대학,건축공학전공,3,전공필수,0008791001,강구조1,Steel Structures1,김민수,on and offline class,온라인(화상)+오프라인, [SY2603:수(7-8A)(8B-9)],3,제28호관 도시과학대학-603 강의실[SY2603]
1370,도시과학대학,건축공학전공,3,전공필수,EPE6025001,건축설비(2),BUILDING EQUIPMENT(2),윤성민,online class,온라인(화상)," [SY2607:월(5B-6),수(2B-3)]",3,제28호관 도시과학대학-607 강의실[SY2607]
1371,도시과학대학,건축공학전공,3,전공선택,0001986001,건축적산및실습,Construction Cost Estimating Practice,구충완,online class,온라인(동영상+화상)," [SY2607:화(5B-6),목(5B-6)]",3,제28호관 도시과학대학-607 강의실[SY2607]
1372,도시과학대학,건축공학전공,3,전공선택,0008792001,철근콘크리트구조2,Reinforced Concrete Structure2,,on and offline class,온라인(동영상)+오프라인, [SY2607:화(1-2A)(2B-3)],3,제28호관 도시과학대학-607 강의실[SY2607]
1373,도시과학대학,건축공학전공,4,전공필수,0001993001,건축공학종합설계,Architectural Engineering Capstone Design',이찬식,on and offline class,온라인(동영상)+오프라인, [SY1103:목(5B-6)] [SY2603:(2B-3)(4-5A)] [SY2608:(1-2A)],3,"제27호관 제2공동실험실습관-103 건축공학종합설계실(시공)[SY1103], 제28호관 도시과학대학-603 강의실[SY2603], 제28호관 도시과학대학-608 세미나실[SY2608]"
1374,도시과학대학,건축공학전공,4,전공필수,0001993002,건축공학종합설계,Architectural Engineering Capstone Design',이수곤,on and offline class,온라인(화상)+오프라인, [SY1316:목(5B-6)] [SY2607:(2B-3)(4-5A)] [SY2609:(1-2A)],3,"제27호관 제2공동실험실습관-316 건축공학전산실습실[SY1316], 제28호관 도시과학대학-607 강의실[SY2607], 제28호관 도시과학대학-609 세미나실[SY2609]"
1375,도시과학대학,건축공학전공,4,전공필수,0001993003,건축공학종합설계,Architectural Engineering Capstone Design',김용식,offline class,오프라인, [SY2607:금(4-5A)(5B-6)] [SY2608:(1-2A)(2B-3)],3,"제28호관 도시과학대학-607 강의실[SY2607], 제28호관 도시과학대학-608 세미나실[SY2608]"
1376,도시과학대학,건축공학전공,4,전공선택,0001990001,친환경건축설비(2),Building Equipment for Sustainable Architecture(2),장현숙,on and offline class,온라인(동영상)+오프라인, [SY2603:월(7-8A)(8B-9)],3,제28호관 도시과학대학-603 강의실[SY2603]
1377,도시과학대학,건축공학전공,4,전공선택,0001996001,건설사업기획및개발,Construction Planning and Development,구충완,online class,온라인(동영상+화상)," [SY2607:월(2B-3),수(5B-6)]",3,제28호관 도시과학대학-607 강의실[SY2607]
1378,도시과학대학,도시건축학전공,2,전공필수,0001946002,건축환경,ENVIRONMENTAL PLANNING IN ARCHITECTURE,이영욱,on and offline class,온라인(동영상)+오프라인, [SY2404A:목(7-8A)(8B-9)],3,제28호관 도시과학대학-404A 강의실[SY2404A]
1379,도시과학대학,도시건축학전공,2,전공필수,0005826001,건축구조의 적용,Structural Mechanics and Systems,김필중,on and offline class,온라인(동영상)+오프라인, [SY2501:금(5)(6)(7)],3,제28호관 도시과학대학-501 강의실[SY2501]
1380,도시과학대학,도시건축학전공,2,전공필수,0005953001,건축재료,ARCHITECTURAL MATERIALS,김진호,on and offline class,온라인(화상)+오프라인," [SY2501:화(2B-3),목(5B-6)]",3,제28호관 도시과학대학-501 강의실[SY2501]
1381,도시과학대학,도시건축학전공,2,전공필수,0006669001,설계스튜디오2,Design Studio2,서동연,on and offline class,온라인(화상)+오프라인, [SY2503:월(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제28호관 도시과학대학-503A 설계실[SY2503]
1382,도시과학대학,도시건축학전공,2,전공필수,0006669002,설계스튜디오2,Design Studio2,김효태,on and offline class,온라인(화상)+오프라인, [SY2504:월(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제28호관 도시과학대학-504 설계실[SY2504]
1383,도시과학대학,도시건축학전공,2,전공필수,0006669003,설계스튜디오2,Design Studio2,최예정,on and offline class,온라인(화상)+오프라인, [SY2505:월(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제28호관 도시과학대학-505 설계실[SY2505]
1384,도시과학대학,도시건축학전공,2,전공필수,0006669004,설계스튜디오2,Design Studio2,문경진,on and offline class,온라인(화상)+오프라인, [SY1310:월(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제27호관 제2공동실험실습관-310 설계실D[SY1310]
1385,도시과학대학,도시건축학전공,2,전공필수,0006669005,설계스튜디오2,Design Studio2,백현아,on and offline class,온라인(화상)+오프라인, [SY1311:월(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제27호관 제2공동실험실습관-311 설계실E[SY1311]
1386,도시과학대학,도시건축학전공,2,전공필수,0007827001,공간계획의 이해,Introduction to Spatial Planning,곽동화,online class,온라인(동영상+화상)," [SY2501:화(5B-6),수(2B-3)]",3,제28호관 도시과학대학-501 강의실[SY2501]
1387,도시과학대학,도시건축학전공,2,전공선택,0005853001,녹색도시론,Green Urbanism,김효정,online class,온라인(화상), [SY2508:화(7-8A)(8B-9)],3,제28호관 도시과학대학-508 강의실[SY2508]
1388,도시과학대학,도시건축학전공,2,전공선택,0008795001,디지털건축1,Digital Architecture1,이태영,on and offline class,온라인(화상)+오프라인," [SY1306:화(1-2A),금(2B-3)]",3,제27호관 제2공동실험실습관-306 건축CAD실[SY1306]
1389,도시과학대학,도시건축학전공,3,전공필수,0005831001,건축설비의 이해,BUILDING SERVICE SYSTEM,이영욱,on and offline class,온라인(동영상)+오프라인, [SY2501:목(2B-3)(4-5A)],3,제28호관 도시과학대학-501 강의실[SY2501]
1390,도시과학대학,도시건축학전공,3,전공필수,0006639001,설계스튜디오4,Design Studio4,이태영,on and offline class,온라인(화상)+오프라인, [SY2604:수(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제28호관 도시과학대학-604 설계실[SY2604]
1391,도시과학대학,도시건축학전공,3,전공필수,0006639002,설계스튜디오4,Design Studio4,한승철,on and offline class,온라인(화상)+오프라인, [SY2605:수(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제28호관 도시과학대학-605 설계실[SY2605]
1392,도시과학대학,도시건축학전공,3,전공필수,0006639003,설계스튜디오4,Design Studio4,박유정,on and offline class,온라인(화상)+오프라인, [SY2606:수(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제28호관 도시과학대학-606 설계실[SY2606]
1393,도시과학대학,도시건축학전공,3,전공필수,0006639004,설계스튜디오4,Design Studio4,김유진,on and offline class,온라인(화상)+오프라인, [SY2601:수(1)(2)(3)(4)(5)(6)(7)(8)(9)],5,제28호관 도시과학대학-601 설계실[SY2601]
1394,도시과학대학,도시건축학전공,3,전공필수,0006660001,법과 제도,Building Codes And Regulations,유영수,online class,온라인(동영상+화상)," [SY2501:월(7-8A),목(7-8A)]",3,제28호관 도시과학대학-501 강의실[SY2501]
1395,도시과학대학,도시건축학전공,3,전공선택,0006672001,도시설계의 이해,Introduction to Urban Design,황영삼,on and offline class,온라인(화상)+오프라인," [SY2508:월(2B-3),화(5B-6)]",3,제28호관 도시과학대학-508 강의실[SY2508]
1396,도시과학대학,도시건축학전공,3,전공선택,EPE6075001,현대건축론,MODERN ARCHITECTURE,강난형,on and offline class,온라인(화상)+오프라인, [SY2501:화(7-8A)(8B-9)],3,제28호관 도시과학대학-501 강의실[SY2501]
1397,도시과학대학,도시건축학전공,4,전공필수,0006656001,설계스튜디오6,Design Studio6,박미진,on and offline class,온라인(화상)+오프라인," [SY1307:월(5)(6)(7)(8)(9),목(1)(2)(3)(4)]",5,제27호관 제2공동실험실습관-307 설계실A[SY1307]
1398,도시과학대학,도시건축학전공,4,전공필수,0006656002,설계스튜디오6,Design Studio6,황영삼,on and offline class,온라인(화상)+오프라인," [SY2506:월(5)(6)(7)(8)(9),목(1)(2)(3)(4)]",5,제28호관 도시과학대학-506 설계실[SY2506]
1399,도시과학대학,도시건축학전공,4,전공필수,0006656003,설계스튜디오6,Design Studio6,곽동화,on and offline class,온라인(화상)+오프라인," [SY1308:월(5)(6)(7)(8)(9),목(1)(2)(3)(4)]",5,제27호관 제2공동실험실습관-308 설계실B[SY1308]
1400,도시과학대학,도시건축학전공,4,전공필수,0006656004,설계스튜디오6,Design Studio6,나인수,on and offline class,온라인(동영상)+오프라인," [SY1309:월(5)(6)(7)(8)(9),목(1)(2)(3)(4)]",5,제27호관 제2공동실험실습관-309 설계실C[SY1309]
1401,도시과학대학,도시건축학전공,4,전공선택,0005843001,건축시공과 건설관리,ARCHITECTURAL CONSTRUCTION AND MANAGEMENT,정재수,on and offline class,온라인(화상)+오프라인, [SY2501:수(7-8A)(8B-9)],3,제28호관 도시과학대학-501 강의실[SY2501]
1402,도시과학대학,건설환경공학부,1,교양필수,XAA1359034,대학수학(2),CALCULUS(2),차득기,online class,온라인(동영상+화상), [SY2102:화(2B-3)(4-5A)],3,제28호관 도시과학대학-102 강의실[SY2102]
1403,도시과학대학,건설환경공학부,1,교양필수,XAA1359035,대학수학(2),CALCULUS(2),차득기,online class,온라인(동영상+화상), [SY2102:화(5B-6)(7-8A)],3,제28호관 도시과학대학-102 강의실[SY2102]
